,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.92,4,0.05,1.961,27.3133,68.3169,82.8125,99.1199,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
1,1,0.92,4,0.05,0.294,90.6017,99.6485,94.4818,99.8715,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
2,2,0.92,4,0.05,0.171,94.7067,99.8867,95.3323,99.8814,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
3,3,0.92,4,0.05,0.15,95.3467,99.8951,95.2828,99.9704,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
4,4,0.92,4,0.05,0.144,95.5433,99.9017,95.0059,99.9407,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
5,5,0.92,4,0.05,0.097,96.9233,99.9495,97.1816,99.9407,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
6,6,0.92,4,0.05,0.083,97.3217,99.9667,97.4189,99.9506,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
7,7,0.92,4,0.05,0.072,97.7167,99.9733,97.9134,99.9803,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
8,8,0.92,4,0.05,0.068,97.8267,99.9733,97.7552,99.9902,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
9,9,0.92,4,0.05,0.064,97.985,99.9767,98.2694,99.9902,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
