,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.98,3,0.05,2.302,11.0467,51.2654,11.1254,51.3647,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
1,1,0.98,3,0.05,2.301,11.2533,52.0461,11.3331,51.7108,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
2,2,0.98,3,0.05,1.901,30.1533,70.8611,78.214,98.754,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
3,3,0.98,3,0.05,0.518,83.02,99.0999,86.1452,99.4463,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
4,4,0.98,3,0.05,0.384,87.8183,99.3853,89.7547,99.5748,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
5,5,0.98,3,0.05,0.317,89.9033,99.6513,90.4866,99.7825,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
6,6,0.98,3,0.05,0.472,85.4467,98.9911,82.0016,99.0111,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
7,7,0.98,3,0.05,0.673,78.58,97.6563,89.4383,99.5946,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
8,8,0.98,3,0.05,0.632,80.445,97.6768,28.0854,87.3616,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
9,9,0.98,3,0.05,0.925,70.5333,96.3625,62.4011,95.3323,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
