,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,2,0.05,0.593,82.21,96.5368,95.3125,99.9111,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
1,1,0.4,2,0.05,0.12,96.375,99.9317,92.0491,99.8715,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
2,2,0.4,2,0.05,0.083,97.3417,99.9617,98.1804,99.9803,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
3,3,0.4,2,0.05,0.065,97.91,99.9783,98.1408,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
4,4,0.4,2,0.05,0.056,98.2067,99.9867,98.4177,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
5,5,0.4,2,0.05,0.049,98.375,99.985,98.4573,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
6,6,0.4,2,0.05,0.044,98.6033,99.9933,98.398,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
7,7,0.4,2,0.05,0.04,98.6883,99.9878,98.0716,99.9605,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
8,8,0.4,2,0.05,0.037,98.7867,99.995,98.487,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
9,9,0.4,2,0.05,0.033,98.9,99.995,98.0914,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
