,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.98,4,0.05,2.284,13.1167,55.6242,34.82,86.3924,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
1,1,0.98,4,0.05,0.818,72.0783,97.7073,76.8987,99.2683,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
2,2,0.98,4,0.05,0.598,80.1467,98.8451,80.7357,99.3276,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
3,3,0.98,4,0.05,0.641,79.2283,98.5169,81.1017,98.9419,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
4,4,0.98,4,0.05,0.71,77.8167,98.0849,54.5589,88.39,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
5,5,0.98,4,0.05,1.921,61.895,92.9943,12.767,67.3457,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
6,6,0.98,4,0.05,0.627,80.3067,97.689,87.7967,99.5946,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
7,7,0.98,4,0.05,0.382,89.3217,99.3015,90.7437,99.7528,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
8,8,0.98,4,0.05,0.263,91.91,99.6735,92.5534,99.733,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
9,9,0.98,4,0.05,0.3,90.77,99.6235,91.0799,99.7429,"[2, 2, 6]",8150,98.1,23112,94.6,37146,95.7
