,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.8,4,0.05,1.269,57.2,82.7759,92.86,99.8122,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
1,1,0.8,4,0.05,0.156,95.165,99.8917,96.341,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
2,2,0.8,4,0.05,0.104,96.7817,99.9367,97.3497,99.9902,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
3,3,0.8,4,0.05,0.085,97.2367,99.9634,98.042,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
4,4,0.8,4,0.05,0.069,97.8,99.9667,98.1112,99.9803,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
5,5,0.8,4,0.05,0.061,98.045,99.9767,98.2892,100.0001,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
6,6,0.8,4,0.05,0.057,98.1767,99.9833,98.1507,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
7,7,0.8,4,0.05,0.051,98.31,99.9883,98.665,100.0001,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
8,8,0.8,4,0.05,0.048,98.5033,99.9867,98.5463,100.0001,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
9,9,0.8,4,0.05,0.045,98.5733,99.9883,98.6551,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
