,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.4,0,0.05,0.548,83.0817,96.7284,95.5301,99.9308,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
1,1,0.4,0,0.05,0.113,96.52,99.9467,96.9244,99.9506,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
2,2,0.4,0,0.05,0.09,97.1733,99.9517,97.8639,99.9407,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
3,3,0.4,0,0.05,0.074,97.7617,99.9733,97.5772,99.9506,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
4,4,0.4,0,0.05,0.055,98.285,99.985,97.9332,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
5,5,0.4,0,0.05,0.047,98.4567,99.99,98.309,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
6,6,0.4,0,0.05,0.042,98.645,99.9933,98.4771,99.9803,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
7,7,0.4,0,0.05,0.037,98.8017,99.99,97.864,99.9902,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
8,8,0.4,0,0.05,0.035,98.8667,99.99,98.6946,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
9,9,0.4,0,0.05,0.032,98.9117,99.995,98.2793,99.9704,"[6, 27, 184]",98687,77.1,617503,-43.4,911444,-5.9
