,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.92,2,0.05,1.61,42.58,76.4026,89.0328,99.5353,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
1,1,0.92,2,0.05,0.245,92.405,99.7485,93.9082,99.8517,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
2,2,0.92,2,0.05,0.166,94.8033,99.8834,95.7674,99.9111,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
3,3,0.92,2,0.05,0.126,95.9617,99.9184,96.4399,99.8616,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
4,4,0.92,2,0.05,0.109,96.53,99.9367,95.7081,99.9308,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
5,5,0.92,2,0.05,0.094,96.905,99.9484,97.1717,99.9308,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
6,6,0.92,2,0.05,0.083,97.2633,99.965,97.8442,99.9209,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
7,7,0.92,2,0.05,0.075,97.5833,99.9667,97.8145,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
8,8,0.92,2,0.05,0.07,97.7567,99.9833,97.953,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
9,9,0.92,2,0.05,0.069,97.7983,99.97,97.9529,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
