,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.3,3,0.05,0.489,85.9117,97.7229,95.718,99.9209,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
1,1,0.3,3,0.05,0.117,96.3633,99.9267,96.3212,99.9308,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
2,2,0.3,3,0.05,0.086,97.3017,99.9584,97.5771,99.9803,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
3,3,0.3,3,0.05,0.066,97.9533,99.975,97.9826,99.9605,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
4,4,0.3,3,0.05,0.056,98.195,99.98,98.22,99.9803,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
5,5,0.3,3,0.05,0.047,98.4683,99.985,98.6551,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
6,6,0.3,3,0.05,0.042,98.68,99.9867,98.5958,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
7,7,0.3,3,0.05,0.039,98.755,99.99,98.5266,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
8,8,0.3,3,0.05,0.034,98.9117,99.995,98.6551,99.9902,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
9,9,0.3,3,0.05,0.031,99.015,99.9967,98.8331,100.0001,"[7, 31, 215]",114443,73.4,740435,-72.0,1089535,-26.5
