,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.9,0,0.05,1.265,56.975,83.752,91.337,99.6935,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
1,1,0.9,0,0.05,0.174,94.5733,99.8701,95.2631,99.9209,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
2,2,0.9,0,0.05,0.118,96.305,99.93,96.2816,99.8913,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
3,3,0.9,0,0.05,0.117,96.1783,99.95,96.3608,99.9506,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
4,4,0.9,0,0.05,0.095,96.935,99.9534,96.9244,99.9506,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
5,5,0.9,0,0.05,0.082,97.4133,99.9667,97.0431,99.9506,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
6,6,0.9,0,0.05,0.074,97.6683,99.965,97.5376,99.9605,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
7,7,0.9,0,0.05,0.072,97.7067,99.975,97.0332,99.9407,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
8,8,0.9,0,0.05,0.067,97.9017,99.975,98.1606,99.9704,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
9,9,0.9,0,0.05,0.064,97.9483,99.9767,97.8046,99.9407,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
