,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.8,2,0.05,0.954,67.4767,90.8615,88.7362,99.6935,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
1,1,0.8,2,0.05,0.169,94.7283,99.8734,94.6104,99.9012,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
2,2,0.8,2,0.05,0.105,96.6933,99.9434,96.5882,99.9407,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
3,3,0.8,2,0.05,0.081,97.4383,99.9684,96.4597,99.9605,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
4,4,0.8,2,0.05,0.078,97.465,99.97,97.7749,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
5,5,0.8,2,0.05,0.089,97.4683,99.915,97.9727,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
6,6,0.8,2,0.05,0.058,98.13,99.975,98.3188,99.9605,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
7,7,0.8,2,0.05,0.057,98.1783,99.9833,96.697,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
8,8,0.8,2,0.05,0.077,97.8917,99.8901,97.7354,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
9,9,0.8,2,0.05,0.045,98.5267,99.9883,98.2497,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
