,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.9,4,0.05,1.865,32.73,69.0448,82.2389,99.2287,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
1,1,0.9,4,0.05,0.28,90.97,99.7418,92.593,99.9012,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
2,2,0.9,4,0.05,0.155,95.0567,99.8901,95.3125,99.9605,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
3,3,0.9,4,0.05,0.11,96.5033,99.955,96.6475,99.9407,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
4,4,0.9,4,0.05,0.091,97.1567,99.96,96.7959,99.9407,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
5,5,0.9,4,0.05,0.08,97.4983,99.9617,97.6365,99.9605,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
6,6,0.9,4,0.05,0.076,97.6083,99.97,97.4684,99.9704,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
7,7,0.9,4,0.05,0.117,96.6667,99.8817,97.142,99.9902,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
8,8,0.9,4,0.05,0.096,97.0433,99.955,97.1025,99.9704,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
9,9,0.9,4,0.05,0.083,97.55,99.945,97.498,99.9704,"[2, 4, 30]",20276,95.3,90340,79.0,137550,84.0
