,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.8,3,0.05,1.061,64.615,87.2979,93.8786,99.9012,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
1,1,0.8,3,0.05,0.147,95.5017,99.8984,96.43,99.9506,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
2,2,0.8,3,0.05,0.109,96.555,99.9467,96.8453,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
3,3,0.8,3,0.05,0.119,96.4917,99.9067,97.0431,99.9704,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
4,4,0.8,3,0.05,0.092,97.245,99.9334,97.6464,99.9803,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
5,5,0.8,3,0.05,0.07,97.7783,99.975,98.0024,99.9803,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
6,6,0.8,3,0.05,0.061,98.09,99.975,97.9925,99.9803,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
7,7,0.8,3,0.05,0.055,98.245,99.9933,98.2199,99.9902,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
8,8,0.8,3,0.05,0.05,98.4217,99.9883,98.2793,100.0001,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
9,9,0.8,3,0.05,0.045,98.5367,99.9917,98.2496,100.0001,"[2, 9, 61]",36062,91.6,185098,57.0,278244,67.7
