,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,0,0.05,0.481,86.1067,97.8228,95.9256,99.9111,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
1,1,0.2,0,0.05,0.116,96.475,99.9184,97.0926,99.9605,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
2,2,0.2,0,0.05,0.081,97.4583,99.96,97.3002,99.9605,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
3,3,0.2,0,0.05,0.064,97.9683,99.98,97.9134,99.9407,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
4,4,0.2,0,0.05,0.052,98.35,99.9833,98.2694,99.9506,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
5,5,0.2,0,0.05,0.046,98.5133,99.9883,98.0914,99.9605,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
6,6,0.2,0,0.05,0.041,98.7033,99.99,98.4573,99.9506,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
7,7,0.2,0,0.05,0.036,98.8517,99.9933,98.3288,99.9605,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
8,8,0.2,0,0.05,0.03,99.0217,99.9983,98.3683,99.9704,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
9,9,0.2,0,0.05,0.029,99.0483,99.9967,98.5958,99.9803,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
