,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.92,0,0.05,2.168,20.4483,63.4306,79.6282,98.131,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
1,1,0.92,0,0.05,0.337,89.5717,99.5253,93.6412,99.7133,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
2,2,0.92,0,0.05,0.155,95.1517,99.8867,95.7081,99.8913,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
3,3,0.92,0,0.05,0.135,95.645,99.9317,96.3805,99.9209,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
4,4,0.92,0,0.05,0.109,96.5017,99.9517,95.985,99.9111,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
5,5,0.92,0,0.05,0.099,96.8,99.9634,94.4521,99.9012,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
6,6,0.92,0,0.05,0.088,97.1783,99.9667,97.3991,99.9506,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
7,7,0.92,0,0.05,0.077,97.48,99.9783,95.7179,99.9308,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
8,8,0.92,0,0.05,0.07,97.6433,99.9783,97.4486,99.9407,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
9,9,0.92,0,0.05,0.079,97.6883,99.96,97.7551,99.9605,"[2, 3, 24]",17219,96.0,72647,83.1,111176,87.1
