,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.6,4,0.05,0.565,84.34,97.2631,95.5696,99.9012,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
1,1,0.6,4,0.05,0.121,96.2167,99.9434,97.1321,99.9902,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
2,2,0.6,4,0.05,0.085,97.3383,99.9617,97.2409,99.9902,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
3,3,0.6,4,0.05,0.069,97.7933,99.97,97.8639,100.0001,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
4,4,0.6,4,0.05,0.084,97.64,99.91,98.1705,99.9902,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
5,5,0.6,4,0.05,0.053,98.3267,99.9783,98.6254,100.0001,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
6,6,0.6,4,0.05,0.048,98.48,99.9867,98.2793,100.0001,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
7,7,0.6,4,0.05,0.044,98.5983,99.9917,98.2991,99.9902,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
8,8,0.6,4,0.05,0.042,98.65,99.9883,98.3189,100.0001,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
9,9,0.6,4,0.05,0.041,98.6467,99.9883,97.8244,100.0001,"[4, 18, 122]",67124,84.4,388032,9.9,576936,33.0
