,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,2,0.05,0.445,86.1267,98.0377,94.7192,99.8913,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
1,1,0.1,2,0.05,0.11,96.6333,99.9267,96.1432,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
2,2,0.1,2,0.05,0.079,97.5017,99.9634,97.6068,99.9506,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
3,3,0.1,2,0.05,0.071,97.88,99.9517,98.1804,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
4,4,0.1,2,0.05,0.05,98.4067,99.9833,98.5859,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
5,5,0.1,2,0.05,0.043,98.5817,99.9867,98.1903,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
6,6,0.1,2,0.05,0.037,98.8083,99.9917,98.754,99.9803,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
7,7,0.1,2,0.05,0.034,98.8583,99.9933,98.932,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
8,8,0.1,2,0.05,0.029,99.05,99.995,98.6452,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
9,9,0.1,2,0.05,0.026,99.1433,99.9983,98.6749,99.9902,"[9, 40, 276]",145505,66.2,1000981,-132.5,1465043,-70.2
